LABEL,DATE_TIME,preprocessed_txt
0,Fri Jun 05 14:26:50 2009,<s> get thread scar </s>
1,Thu May 14 10:13:55 2009,<s> awaisnaseer like sedan mango one yesterday </s>
1,Fri Jun 05 21:02:20 2009,<s> work car work show go bed sooooooooooo tire sparrow sign lt cowboy gt </s>
1,Sun Jun 14 22:25:52 2009,<s> drama actually start afternoon try something slow process collect many vac </s>
1,Sun May 31 00:42:12 2009,<s> falcon601 www vote col love much </s>
1,Sun May 17 03:26:30 2009,<s> mrstessyman ever good day love knitpicks </s>
1,Tue Jun 16 04:39:49 2009,<s> getmevideo sorry forte ask trade scale day answer </s>
1,Sun May 03 07:20:15 2009,<s> get ready church sum watch afa whoop djokovic live settle dvr suppose </s>
1,Fri May 22 03:11:33 2009,<s> early tomorrow last open home goodnight </s>
0,Wed Jun 17 09:18:19 2009,<s> need shake gloomy feel maybe rain </s>
0,Mon Jun 22 13:51:56 2009,<s> minecraft ride sarah still afraid ride anything fun </s>
1,Fri May 22 03:27:18 2009,<s> tb78 cheer follow </s>
0,Fri May 22 00:37:02 2009,<s> sokendrakouture yea alone </s>
1,Mon Jun 15 00:04:06 2009,<s> good morning bless another day share light love others </s>
1,Sun Apr 19 10:25:32 2009,<s> realdeal32 </s>
1,Sat Apr 18 14:29:38 2009,<s> yoginifoodie well thank want </s>
1,Sun May 31 15:03:49 2009,<s> mileycyrus play own afeeee btw vote </s>
1,Sat May 30 20:40:57 2009,<s> get hot tub go get movie ice cream mt lil sis call night nothing like sis time </s>
0,Thu May 21 23:50:48 2009,<s> flyingbolt good without </s>
0,Mon Apr 20 05:54:03 2009,<s> lol help obsess hannah montana </s>
0,Wed Jun 24 21:57:44 2009,<s> hate people move away </s>
0,Sat Jun 20 10:30:52 2009,<s> http sad iranelection </s>
1,Wed Jun 03 02:49:07 2009,<s> sctunstall wah glad cut run two west wing episodes </s>
0,Sun May 31 18:36:38 2009,<s> digitallearnin ppell open sentence describe see nz school develop current govt </s>
1,Sun May 17 11:22:44 2009,<s> ihauntwizards see amaze </s>
0,Fri Jun 19 03:56:13 2009,<s> luke oh luke answer please try love music hear whole day really </s>
1,Sun May 31 12:56:37 2009,<s> get ready </s>
0,Sun May 03 07:03:20 2009,<s> buckhollywood cant watch uk tell please x </s>
0,Mon Jun 15 07:31:50 2009,<s> wont forget today </s>
1,Sun May 17 23:50:10 2009,<s> soycamo right page write ruby cocoa </s>
1,Mon Jun 15 21:51:12 2009,<s> lol okay permission try give credit </s>
0,Mon Jun 01 04:39:58 2009,<s> go miss freshman year </s>
1,Sun May 31 04:09:06 2009,<s> domkoenig nice pic like shirt </s>
0,Wed Jun 17 00:06:45 2009,<s> mykiaisosm om ur bad mean meet u 2nd grade even though hat stay like </s>
1,Wed Jun 03 02:40:39 2009,<s> cyberela call quot classic quot </s>
1,Sat May 02 02:26:10 2009,<s> bathroom sparkle btw since 7 get ta wrong right next </s>
0,Fri Jun 19 22:24:56 2009,<s> poor l </s>
0,Sat Jun 20 06:03:20 2009,<s> sleepy hate 8am case </s>
1,Fri May 29 21:29:53 2009,<s> spencerpratt cool </s>
0,Sun Apr 19 01:47:25 2009,<s> work time http </s>
1,Mon Jun 15 04:25:56 2009,<s> eat chocolate bridge x </s>
0,Sun Apr 19 11:00:18 2009,<s> moz cancel poor kill </s>
0,Sun Jun 07 20:30:43 2009,<s> miss game </s>
0,Fri Jun 05 14:37:22 2009,<s> marginatasnaily yeah use load age tonight though seem scare xxx </s>
0,Mon Jun 01 07:05:54 2009,<s> finally back work waste week </s>
1,Fri Jun 05 16:22:18 2009,<s> get webcam </s>
0,Thu Jun 18 11:53:16 2009,<s> watch student play back phone tweet </s>
0,Thu Jun 18 08:49:09 2009,<s> crave junk food </s>
1,Wed Jun 03 05:56:47 2009,<s> bossmobb goodmorning u n goodnite go bed </s>
0,Fri May 29 22:35:37 2009,<s> newerdeal perimeter nintendo ds think mention </s>
0,Tue Apr 07 07:10:16 2009,<s> cat apps afternoon eat little morning hide right worry </s>
0,Fri Jun 05 19:18:57 2009,<s> effect stats </s>
0,Fri Jun 05 12:41:43 2009,<s> scar thunder lightning careful georgetta lt 3 </s>
1,Sun Jun 07 00:58:04 2009,<s> go rayon rule cikajang yum </s>
0,Fri Jun 05 15:32:39 2009,<s> eagles89 miss face bonnaroo </s>
0,Tue Apr 07 08:45:22 2009,<s> stupid twitter keep tell capacity </s>
0,Sat Jun 06 11:40:38 2009,<s> work completely bore blah need hug </s>
1,Sun Apr 19 12:16:04 2009,<s> quot wan na wake quot love goo goo dolls http </s>
0,Mon Jun 01 21:26:47 2009,<s> everyone grumpy guilt house tonight include still suck </s>
0,Sun May 17 11:23:59 2009,<s> rewrite dave think guy ever get sup </s>
0,Mon Jun 22 11:51:21 2009,<s> dr office hopefully find sick hard keep eye open </s>
1,Sat Jun 06 21:37:05 2009,<s> crush notice love ask esp weekdays great sushi roll super cheap hope youre great weekend </s>
1,Sat May 30 16:52:13 2009,<s> nachojohnny love think ive see every episode possible bout </s>
1,Sun Jun 07 20:09:08 2009,<s> teambudd1 haha funny reply haha say kansas appreciate </s>
0,Mon Jun 22 19:08:13 2009,<s> baron saw two small </s>
0,Wed Jun 17 21:27:01 2009,<s> feel like death next investment go spa need new body function via ingadurgin herd sleep good 4 dat </s>
1,Sat Jun 06 16:02:52 2009,<s> goodnight everybody see u tomorrow night monday cia friends xo </s>
1,Sun May 03 09:11:35 2009,<s> alright finally wake ass late usual coffee green time best part wake yeah work </s>
0,Sat May 02 05:27:27 2009,<s> im bore try figure profile ive make net remember bite brain dead moment </s>
0,Sun Jun 07 03:45:01 2009,<s> officials fair enough slap vis comm teachers face kk lmaz thursday thursday thursday </s>
1,Sun Jun 07 13:17:29 2009,<s> yesterday fantastic saw fam oregon miss soo much </s>
1,Sun May 10 07:28:43 2009,<s> mrskutcher poland mother day 26th may </s>
1,Wed Jun 03 07:36:20 2009,<s> eastcoastgamblr like feel today </s>
1,Mon Jun 01 16:46:50 2009,<s> lydiastack mitchelmusso australian release know please write back </s>
1,Mon Jun 01 01:58:09 2009,<s> et </s>
0,Mon Jun 15 00:53:38 2009,<s> back work </s>
1,Sun May 31 08:01:04 2009,<s> beach day head cat listen yankees game get place clean maybe read little </s>
0,Mon Jun 15 01:26:04 2009,<s> pull oboe full year amp definitely longer symphony level must remedy ow lips hurt </s>
1,Sun Jun 07 05:01:00 2009,<s> f1 today oh well world cup really divert attention </s>
0,Fri May 29 22:26:48 2009,<s> poop forget </s>
1,Wed Jun 03 01:02:12 2009,<s> package arrive cheryl give xiaomantous book order yay </s>
1,Sun May 31 01:52:00 2009,<s> nakulshenoy lol quot twitter kill blogger quot far apart btw quot blogging traditional sense quot may know </s>
0,Sat Jun 06 20:20:00 2009,<s> test good probably go get torrent </s>
1,Sun May 31 04:12:36 2009,<s> jeddimkins bahahah id advertise fat people </s>
0,Mon Jun 01 17:03:11 2009,<s> try amuse make laugh </s>
1,Sun May 10 08:08:55 2009,<s> dannymcevoy haha leave hull alone yeah mate </s>
1,Sun Jun 07 02:16:11 2009,<s> good morning gh clean room </s>
0,Fri Jun 19 22:03:01 2009,<s> want upset day </s>
1,Mon Jun 15 09:24:04 2009,<s> decide run laptop battery power cord case power surge stormy </s>
1,Sun Jun 07 12:30:11 2009,<s> hey someone happy someone aka </s>
0,Sat May 30 13:22:18 2009,<s> fear come back ride </s>
0,Sun May 03 22:11:04 2009,<s> knock door see want go kfc guess sleep lol </s>
0,Sun Jun 07 19:18:28 2009,<s> markvanbaale see anything watch awhile earlier even get back deadlines </s>
1,Fri May 29 15:03:27 2009,<s> well break vodka lemon drop </s>
1,Sat Jun 06 09:38:48 2009,<s> grad party work seth love summer </s>
0,Tue Jun 23 10:19:19 2009,<s> really need start tan right arm gh leave arm dark drive </s>
0,Tue Apr 07 01:50:44 2009,<s> wait scrap come pick old aab </s>
0,Mon May 18 07:40:23 2009,<s> go bed physically pain work kicker years coffee </s>
0,Wed Jun 17 14:55:37 2009,<s> traffic move snail pace queen street east streetcar move one block 10 minutes university york </s>
1,Sat May 30 22:39:19 2009,<s> davidarchie make sing song stage song amp glad fun </s>
0,Mon Jun 01 13:48:15 2009,<s> web server sorry inconvenience time start shop new host guess </s>
1,Sun May 31 15:47:54 2009,<s> smithycurt nobbbbbyyy lobby not route </s>
0,Fri May 29 19:22:10 2009,<s> tweetdeck stop work bath </s>
1,Sat May 09 21:21:43 2009,<s> hair look sicckkkk happy mother day mother </s>
0,Thu Jun 18 14:36:22 2009,<s> stephanie pratt tell mtv news quot hill make bulimic quot http better still gt half story miss </s>
0,Mon May 18 06:20:12 2009,<s> hell weekend go one second friday wake monday sad sad sad state affairs </s>
0,Mon Jun 15 02:20:19 2009,<s> tweetdeck update fix crash remove minimize stray totally blow </s>
0,Sat Jun 20 22:03:43 2009,<s> fashionsourcing thank invite swamp wo able make leave hopefully </s>
0,Tue Jun 16 20:59:33 2009,<s> really tire man </s>
0,Sat Jun 20 06:25:36 2009,<s> long get sore head </s>
0,Wed Jun 17 02:31:55 2009,<s> alexispratsides thank lol sadly 31 waaahhhhh </s>
1,Sun Jun 07 15:26:08 2009,<s> bye everyone </s>
0,Sun May 03 16:22:27 2009,<s> studio test tomorrow </s>
1,Mon May 18 06:09:59 2009,<s> ngl finish fic get puppy much love ridiculous completely make night ecstatic </s>
1,Mon Jun 01 20:31:06 2009,<s> rotflmao http quot math koda hawaii have quot tamil quot math would u come bath quot wtf </s>
0,Thu Jun 18 18:13:29 2009,<s> hmm make choice decide go food reception screen instead hang screen dinner </s>
0,Mon May 18 06:10:20 2009,<s> throne thank make years golf course unforgettable rip </s>
1,Sun Apr 19 00:12:46 2009,<s> chuckiem good night </s>
0,Mon Jun 22 15:55:38 2009,<s> div physical exam shuttle job </s>
1,Mon May 18 08:04:25 2009,<s> play golf wonderful husband take day kid still school </s>
1,Sun May 31 10:15:41 2009,<s> micheleknight www picasso cute </s>
0,Tue May 26 21:12:30 2009,<s> time puzzle puzzle </s>
0,Sun Jun 21 05:09:42 2009,<s> want chinese tea yet another leaflet come mail slot minute ago luton really look like fast food </s>
0,Sun Jun 07 08:01:11 2009,<s> go away wasps </s>
1,Fri Jun 05 21:16:37 2009,<s> jack hey jack look cool food place suggestions run hide </s>
0,Mon Jun 01 20:41:08 2009,<s> love andy richter back joel </s>
1,Sun May 31 09:15:25 2009,<s> go soo love pink sing glitter air show soo amaze beautiful </s>
0,Fri May 29 12:53:52 2009,<s> watch army wive always make cry </s>
0,Fri May 29 17:46:59 2009,<s> ive deal roommate crap aside nothing clean alot miss abi </s>
1,Sun May 31 00:05:57 2009,<s> get pull nevada state pop quite grand </s>
1,Fri May 29 11:29:13 2009,<s> hisfitness thank guy leave canvas leader center politician right tomorrow mit4e </s>
1,Fri May 29 00:57:33 2009,<s> amazingphil morning roarface </s>
0,Sun Jun 07 14:56:42 2009,<s> arm still hurt pull yesterday </s>
1,Mon Jun 15 22:33:57 2009,<s> finish say prayers </s>
1,Wed Jun 03 09:41:07 2009,<s> wendy00n yeah watch lot new movies actually watch lot movies doctor </s>
1,Sun May 17 17:08:46 2009,<s> precise public education best defense private deletion </s>
0,Mon Jun 01 08:48:55 2009,<s> kid party sun </s>
1,Wed Jun 03 03:06:49 2009,<s> nathalichristy les les dan less aahahahah oi oi liberal km here </s>
1,Sun May 17 09:50:48 2009,<s> paint rim car </s>
1,Tue Jun 16 07:19:13 2009,<s> matthardybrand lucky good friends sure already know </s>
0,Fri Jun 05 17:28:09 2009,<s> finish 12 money 55 1 star play far aggressive try build monster stack approach bubble x x </s>
1,Fri May 29 23:36:11 2009,<s> kk ani tat love family go grad night soon </s>
1,Fri May 22 01:05:12 2009,<s> mayors back think leave us </s>
1,Tue Jun 16 00:12:36 2009,<s> use stumbleupon please give site thumb http </s>
1,Sat May 30 19:02:30 2009,<s> bedoggtde http www little cousin cute get daddy </s>
0,Sun Jun 07 06:15:51 2009,<s> bet mistake nah surprise </s>
0,Thu Jun 04 22:35:36 2009,<s> merry hop subvert ice cream party </s>
1,Sun May 03 02:36:21 2009,<s> common9000 thank feel need fly paitnbrush ur name bring linux guru </s>
1,Sat May 30 19:04:43 2009,<s> supasash11 cap fan series pay ill root lakers </s>
0,Sun Jun 14 23:08:19 2009,<s> stick rain boyhood </s>
1,Sun Jun 07 17:00:29 2009,<s> watch whilst phone </s>
1,Sat Jun 06 19:50:35 2009,<s> mayahzonfiya sortie ai get chance 2 stick around longer </s>
0,Fri May 29 14:56:45 2009,<s> go dinner </s>
0,Wed Jun 17 08:38:57 2009,<s> babybree96 hide kitty </s>
1,Sat May 30 13:04:59 2009,<s> prince harry one block away x3 </s>
0,Mon Jun 22 19:08:54 2009,<s> hungry wait history start </s>
1,Sat May 02 01:26:04 2009,<s> wussup new followers </s>
1,Sat May 30 08:51:35 2009,<s> egoodlett angelajames thank help kind </s>
0,Sun May 10 20:25:57 2009,<s> say prayer friend cheese lose dad wont see younglife group ye </s>
0,Mon Jun 15 17:48:50 2009,<s> today suck </s>
1,Sat Jun 06 18:23:46 2009,<s> r rafaelvandyke find hole 11yo son bedroom wall comma happy gt toy strategically stack </s>
0,Wed Jun 03 07:25:10 2009,<s> headache wo keep twitter tire gossip heart break overtime name come </s>
1,Sun May 03 03:32:04 2009,<s> 6 days go away duke ed im like really excite </s>
0,Sun Jun 21 03:15:58 2009,<s> miss baby know sleep grand house miss tommy </s>
0,Fri Jun 05 18:18:51 2009,<s> totally sum wo see buddy news monday </s>
0,Wed Jun 17 01:56:40 2009,<s> celine dion song stick head statement sort summary things go today okay bad </s>
0,Thu Jun 18 05:49:49 2009,<s> good morning twitter set microwave work fire allow 2 use anymore amp ppl wonder dont hav 1 home </s>
1,Sun Jun 07 01:07:32 2009,<s> rainbowsleeve thank pass word plastic bag petition http </s>
0,Sun May 03 09:45:17 2009,<s> small problem test demo need use two seperate browsers test otherwise cookie code give name </s>
0,Mon Jun 01 15:24:32 2009,<s> chriscavs could send spam reply get tweet probably wo help though </s>
1,Thu May 21 23:56:32 2009,<s> yeah rain gon na good cycle </s>
1,Tue Jun 02 05:42:17 2009,<s> shaundiviney maybe one oasis </s>
1,Tue Apr 07 04:04:39 2009,<s> stephenfry things find better settle long trip wander around london </s>
1,Sun Jun 07 07:01:25 2009,<s> im happy mood </s>
0,Mon Jun 01 11:01:51 2009,<s> ca believe entire plane full people big plane full people disappear absolutely screw </s>
