LABEL,sentances
0,About to get threaded and scared 
1,@awaisnaseer I like Shezan Mangooo too!!! I had one yesterday 
1,worked on my car after work. showering then going to bed. sooooooooooo tired. sparrow signing out  &lt;Cowboy Up&gt;
1,"@Marama Actually we start this afternoon!  I will try to have something by Wed. It will be a slow process of collecting, many on vac."
1,@gfalcone601 Aww Gi.don't worry.we'll vote for you non-stop coz we love you so much 
1,@mrstessyman What ever you do have a good day. I love knitpicks 
1,"@GetMeVideo Sorry, not my forte,  Ask me about #trading, #scalping the dax and I can answer "
1,"Getting ready for church and bummed I cannot watch Rafa whoop Djokovic LIVE, I'll settle for DVR I suppose "
1,Up early tomorrow. Last open home. Goodnight 
0,Needs to shake this gloomy feeling!!    Maybe it's the rain???
0,Minecart ride now. Sarah's still too afraid to ride anything fun with me. 
1,@tb78 Cheers for follow! 
0,@sokendrakouture yea alone 
1,Good morning! We are blessed with another day to share our light and love with others! 
1,@RealDeal32 NO! 
1,"@yoginifoodie WEll, thanks, lol- want some?  "
1,@mileycyrus i'll play against you and pwn you. yeeee. btw i voted for you 
1,just got out the hot tub....about to go get a movie and ice cream with mt lil sis and call it a night!!!  nothing like some sis time!!! 
0,@flyingbolt  Not as good without you! 
0,"LOL HELP ME, I'm obsessed with Hannah Montana "
0,I hate when people have to move away from me 
0,http://bit.ly/AEbs3   I can only be sad.  #iranelection
1,@SCTunstall woah.  I'm glad I cut and ran after two West Wing episodes 
0,@digitallearnin Heppell's opening sentences describe how I see NZ schools developing under the current govt  ...
1,@IHauntWizards See it! Its amazing 
0,"@Luke Oh Luke  , why don't you answer me? pleease try it . Love your music ! Hear it the whole day, really !"
1,getting ready 
0,@buckhollywood I Cant Watch That i'm in the UK  Can you tell me what its about? Please x
0,I wont forget today .... 
1,"@soycamo Right then, now that weï¿½re on the same page  Write in Ruby + Cocoa?"
1,@Liverpool_TX lol.. okay if I have your permission I'll try.. (will give you credit)  
0,@alix_says I'm going to miss freshman year... 
1,@domkoenig nice pic - like your shirt! 
0,@mykiaisosm omj ur bad and mean i should not have meet u in 2nd grade even thouggh we hated each other i should have stayed like that 
1,"@Cyberela When it is Ã¼ber-succesful, it is called &quot;a Classic&quot; "
1,"Bathroom is sparkling btw ..... Been up since 7, that's gotta be wrong  right, next..."
0,@Sally_That_Girl poor L!  
0,So sleepy!!  I hate 8am CASB 
1,@spencerpratt is cool 
0,Work time   http://twitpic.com/3l589
1,eating chocolate with brydie  x
0,Moz cancelled again!  Poor Akila. 
0, i missed the game
0,"@marginatasnaily yeah, used to have them loads...hadn't had them for ages until tonight though it seems. scarey  xxx"
0,Finally back at work! What a wasted week that was 
1,i got a webcam 
0,Off to watch a student play... back at 9:30. No phone to tweet from. 
0,has been craving for junk food... 
1,@Bossmobb Goodmorning to U n Goodnite I'm goin to bed. 
0,@NewerDeal I have a pedometer and Nintendo DS but I didn't think about mentioning them 
0,Cat has an appt this afternoon at 3:45. She ate a little this morning. She's hiding right now. I'm worried. 
0,I effed up my stats 
0,Scared of thunder and lightning.  Be careful Georgetta&lt;3
1,Going to Rawon Nguling at Cikajang. Yum!! 
0,@meggles89 I miss your face!  When is Bonnaroo?
0,Stupid Twitter keeps telling me that it's 'over capacity' 
0,at work and completely bored!! blah! I need a hug. 
1,&quot;I wanna wake up where you are&quot; I love the Goo Goo Dolls  ? http://blip.fm/~4lfcc
0,Everyone has been grumpy in the Guillot house tonight. Including me.  now I'm still up sulking about it.
0,@ferrite Dave! I don't think you guys ever got my rsvp! 
