sentences,labels,vader_scores,mod_vader_scores
<s> good severe marleematlin kreesha mind night nj deeper toast list geog yasmimmm cameronreilly excitement backlog lord 3rd 1week suck harper </s>,1,0.1531,0.1531
<s> chopsuey2e zhang political fabuleuxdestin afterwards bad jeremy poke sowwiiiee tilde chick r2e2 yan dif super nareejo semuuaa afternoon pc uugggh </s>,1,0.1027,0.1027
<s> mosquito 4am lobster top vernongarrett calgary greatfitness knowwwwww mc insure shogi 5th benny doingwork l8ly popularity normally ncaa tweak costa </s>,1,0.5994,0.5994
<s> okay dunkndisorderly tutor mommapuff souvenir sketchbook mwahahaha financial goodnight jenny hoopinispassion howliet sudden kea34 sri join60seconds offline shaft secular matthewsheppard </s>,1,0.1027,0.1027
<s> lucypope hoaaaaaaaaaaaaa caffeine mark liturgy wheel ceiling toronto dow werewolfseth m0t0breath h0area getknifed yourproxycomm product 45 affairs solar funky tent </s>,0,-0.1027,0.1027
<s> shorten vengeance anno84 terrify kaaatieexlee stroll catenalady brooklyn single cindaily besiege report sugar sweetdanigirl principally fundraiser fff havent aab thread </s>,0,-0.5106,0.5106
<s> suzemuse rotate tweeterwall alexis matt blizzard studios personally template near irish therounddiet utrecht wel overheat bobbythomas1 rewrite wec fortunate suddenly </s>,1,0.4404,0.4404
<s> get rockers border daysdifference irritate ga memories nike candyfloss levnumesmerized squarespace available greg kazzba isp cofffeeeeeee stephenfry absolutely ich os </s>,0,-0.4215,0.4215
<s> blow between f fff rehab darkhunter proxy childish incest freak newt0 judo golf if teemwilliams please boogaloo1 nature allergic opinion </s>,0,-0.6124,0.6124
<s> ng shaft rakeshagrawal watching05 sue lego girls until mawbooks end sylviegreen69 switch aku sxsw infuriate twilightfan023 marktheescape analogs littlelumen encourage </s>,1,0.0258,0.0258
<s> deletion fb maiden ahhhaaaa ashdonaldson pirrofina bidders uu row ja vicbeezy dan poetrysue out robertmuchamore membership srv iilovejbxox depression rachel </s>,0,-0.5719,0.5719
<s> n97 moms dash playoffbeard youtube linux advance orientation switch2008 ubuntu julian79 showdown transfer non goooodnight juiceeeee german gif hawaii roxannegregorio </s>,0,0.0,0.0
<s> yay marjamma ð¾ð²ñ champorado however tunisia suspect 15 hombre tequilanef mandolin2 savagestar cousins jeddimkins robinson barrier treypeezy elainerogers aug justinofg4p </s>,1,0.1779,0.1779
<s> contrato uuuggghhh equip marykunzgoldman piss also step bmaynorx3 security itinerary atm arm eh dn empathy people 3rd ecstatic fort beach </s>,1,0.4588,0.4588
<s> barley databases suppose out navarro mass birth ithellam th window sandysaikman mondayyyyyyy goose record msmandz dash poop pass jerk onefullyear </s>,0,-0.34,0.34
<s> awesome player melamachinko downfall aoc idols hannahfaulkes impossible remember prince hangover issn premiere bedroom ted convention fashionchalet accommodation breeze usual </s>,1,0.6249,0.6249
<s> snowshoemtn nm wonder hometown june dyn flurry studio ed spec fabuleuxdestin demivenom prinzita tons iceprincess12 bah annelizabeth84 nelldamylf rubbish bikini </s>,0,0.0,0.0
<s> pitch soulsupreme commute complaints davidoreilly catfuel 854 concerts09 kit zhang despite briaaaa shave aaahhhh heavily julibarcelona gabysslave bacieabbracci ihsanamin ze </s>,0,-0.4019,0.4019
<s> quot where wellllll treat syllable expensive monsoonsmangoes dentist kel7alpha kick24 pinkkpaiige12 daisymoonstars bandmate burgundy sir barber00 und chloe intense stiiilllll </s>,1,0.4588,0.4588
<s> phoenixpwns mmmm doubt yakisoba 19th sox costume sidekick canvas banner pinchmysalt tolerance library zone talk mel0d mg double magnet shia </s>,0,-0.0772,0.0772
<s> ick aristeia daddy category bella4510 greedy here contest croissant gregjames rollerblade bleed such itinerary whiterabbit00 miserable itsneet dddddd rucksack hehehehe </s>,0,-0.6705,0.6705
<s> iphone ashley partially tear friday nico station shaft cox greeneyedjessie supuesto july themacgirl rollerblade lisamurray bailey plump slowinagoodway piss better </s>,1,0.0516,0.0516
<s> foot echo guitardragon emily moooorning itsmyeyes pitch return instant vanc besiege comic 17 jason motto wonder outlook crs hobby important </s>,1,0.2023,0.2023
<s> trip reminders circle goo expect spalongal ronsalcedo video chico 2g blame sam turkish pitch founder babygirlparis midwife guitardragon barn clue </s>,0,-0.34,0.34
<s> patrickaxe configure procrastinate sedonadreammakr 3 size no1 okinawan together definite espana colorado kinderlola rels package shit dayyyyy splendid dadonwoogz brightgirl </s>,1,0.3182,0.3182
<s> mcflyharry accident briaaaa little mizzvegas missannelie sample via european mmitchelldaviss verseghy bubblegate material 14 delle exceed hook announcement k teammate </s>,0,-0.4767,0.4767
<s> thumb hollywood dummy chantalalalaxo ck foreign rampage youuuuuu primary brazil wall wing ting neighbor gt demo pelo counter without danny </s>,1,0.2732,0.2732
<s> http slowinagoodway comfortable ram8727 thunder destinyhope92 grumpy nancetron check congo todays twilightchill bruno108 bun creamcheese god4movers greatly very blast vomit </s>,1,0.5106,0.5106
<s> vanc for kiddlive christine calibre friday junk common9000 matter hero precede amateur clockwork base gorgeoussssss att his style goat blip </s>,1,0.5719,0.5719
<s> 97 pretty disappointment pass ky lizamtl counterpart julian cooler 2uk farm well chemistry rattielovers map pres af447 torehtard momentarily hilarious </s>,1,0.5719,0.5719
<s> get different stalk assets peace dallas honorary brooklynblack nhltweetup traditional close legal sasha bbs mmitchelldaviss rainbow library shame obvious aspaphoto </s>,1,0.6124,0.6124
<s> want vacation armour surf ðµð¼ members po religious idols dat housewives stuartwhitman typo noblesville michellelynn69 gf svn muse tweetschoolonline honor </s>,0,-0.0258,0.0258
<s> sweetmexicangal sickness stray rapper animorphs joshgroban ceiling kent type registry bff journ phenol monitor retrieve emily noblesville dish intense knowwwwww </s>,1,0.6369,0.6369
<s> tuesday emmys20 chem differently tifftiff621 summary juicy sugar mogwai brightgirl suggest bittenbybooks year auction lobster mallee tutorials nevermind existence naval </s>,0,0.0,0.0
<s> africa catfuel campaign ze announcement nervous shift cricket goodtimesaregon tomorrow reggae thebestofhands sissyto4 seemouserun edc either headline skinny turn dose </s>,0,-0.2732,0.2732
<s> grad automatically allenbenjamin gregjames translate ugg cab complainnnnn lcs calm music4ever323 3turnoffwords jet wichita world09 speakers jesse german crave ubershmoo </s>,1,0.3182,0.3182
<s> need candyfloss arabidopsis richie bang bro hardheaded buckle wander winter rumor michael mtvwebmaster freelance ats untitled even 29 paddy presentations </s>,1,0.296,0.296
<s> slave anna rafatux wind ladies david mass soccer addiction ride matchesmalone foot hel irritate flood chillout reject ailujulia databases safe </s>,0,-0.3818,0.3818
<s> musewire jeffmello yourmommasboy harmonisation 38 itsconsiderate trvsdjam weekend wise lisabeth larson smart shock shallow improve simon rhetthislop neither gofoborsvpcodes yeh </s>,1,0.7269,0.7269
<s> bbc surf lilyjang mosquito usual condition brian 6a goddess bring bait philippines sooooooooo shoot mostly ingredients pet katie everything socialist </s>,0,-0.34,0.34
<s> so0 ahead ashbashoneonly treadonmydreams math1213 2g parliament terrain rotors since airlines stickers sunshineliron 2mozxxmuch tweetpeete demand song greenish comma63 tfl </s>,0,-0.128,0.128
<s> volunteer shear effort padacklesjjam peace london88 allies0r rice cookies depot abi owner êµ grahamwgreen 6 crawl sexy doc deadpool twinkle </s>,1,0.7845,0.7845
<s> mikecane ljubljana stonewallers lip02x bust mizrik bee content hard mikebutcher uu they cash hampton levy ticket yh lauren rachel unnamed </s>,0,-0.1027,0.1027
<s> simone itsmyeyes jackie felt people patients e3 theã½ apparent music above12 pause overrun barrett sandysaikman 360 jolicloud destinyhope92 novel jodymal </s>,1,0.3182,0.3182
